"Distance Along Transect (m)","June 12, 2012","March 16, 2012"
205.6758826294853,-2.94,-2.69
206.81221347286905,-2.94,-2.7
207.9485443162528,-2.94,-2.7
209.08487515433535,-2.94,-2.7
210.22120600007517,-2.94,-2.7
211.35753684345892,-2.94,-2.7
212.49386768684266,-2.94,-2.7
213.6301985302264,-2.94,-2.72
214.7665293665419,-2.95,-2.75
215.90286021228172,-2.95,-2.75
217.03919105566547,-2.95,-2.75
218.17552190081628,-2.95,-2.76
219.3118527465561,-2.96,-2.76
220.44818358993984,-2.96,-2.78
221.58451443096752,-2.97,-2.82
222.72084527435126,-2.97,-2.82
223.857176117735,-2.97,-2.82
224.99350695876268,-2.97,-2.82
226.12983780685857,-2.97,-2.82
227.26616864494113,-2.97,-2.82
228.40249948832488,-2.98,-2.86
229.5388303340647,-2.99,-2.86
230.67516117744844,-2.99,-2.86
231.8114920208322,-2.99,-2.86
232.94782286421594,-2.99,-2.86
234.08415370759968,-2.99,-2.86
235.2204845480383,-2.99,-2.87
236.35681539142206,-3,-2.9
237.4931462348058,-3.02,-2.92
238.62947707818955,-3.02,-2.93
239.76580792392937,-3.02,-2.93
240.90213876731312,-3.02,-2.93
242.0384696083408,-3.02,-2.93
243.1748004534916,-3.02,-2.93
244.31113129451927,-3.03,-2.97
245.44746214261517,-3.03,-2.97
246.5837929859989,-3.03,-2.97
247.72012382938266,-3.03,-2.97
248.85645466805423,-3.03,-2.97
249.99278551143797,-3.03,-2.97
251.12911635482172,-3.05,-3.01
252.26544719820546,-3.06,-3.02
253.40177804335627,-3.06,-3.02
254.53810888202784,-3.06,-3.02
255.6744397254116,-3.06,-3.02
256.8107705687953,-3.06,-3.02
257.94710141217905,-3.07,-3.02
259.08343225791884,-3.09,-3.04
260.2197631013026,-3.11,-3.07
261.3560939393852,-3.11,-3.07
262.49242478748107,-3.11,-3.07
263.6287556285087,-3.11,-3.07
264.76508647189246,-3.11,-3.07
265.90141731998835,-3.12,-3.08
267.0377481633721,-3.15,-3.11
268.1740790091119,-3.15,-3.11
269.3104098471945,-3.15,-3.11
270.4467406905782,-3.15,-3.11
271.58307153396197,-3.15,-3.11
272.7194023773457,-3.15,-3.11
273.8557332230855,-3.19,-3.15
274.99206406646925,-3.2,-3.17
276.12839490278475,-3.2,-3.17
277.2647257461685,-3.2,-3.17
278.4010565936754,-3.21,-3.17
279.5373874370591,-3.21,-3.17
280.67371828044287,-3.22,-3.18
281.8100491214705,-3.25,-3.2
282.94637996249816,-3.28,-3.23
284.0827108058819,-3.28,-3.23
285.21904164926565,-3.28,-3.23
286.35537249736154,-3.28,-3.23
287.49170334310134,-3.28,-3.23
288.6280341811839,-3.29,-3.23
289.76436502456767,-3.35,-3.27
290.9006958679514,-3.35,-3.27
292.03702671133516,-3.35,-3.27
293.17335755707495,-3.35,-3.27
294.3096884004587,-3.35,-3.27
295.4460192385413,-3.35,-3.27
296.58235008192503,-3.4,-3.3
297.7186809276649,-3.41,-3.31
298.8550117710486,-3.41,-3.31
299.99134261443237,-3.42,-3.32
301.1276734578161,-3.42,-3.32
302.2640043035559,-3.43,-3.33
303.4003351416385,-3.44,-3.33
304.53666598502224,-3.46,-3.35
305.67299683311813,-3.5,-3.38
306.8093276788579,-3.5,-3.38
307.9456585175295,-3.5,-3.38
309.08198935855717,-3.5,-3.38
310.2183202019409,-3.5,-3.38
311.35465104532466,-3.5,-3.39
312.4909818910645,-3.56,-3.44
313.62731273444825,-3.56,-3.44
314.76364357959903,-3.56,-3.44
315.8999744159145,-3.56,-3.44
317.0363052616543,-3.56,-3.44
318.17263610503807,-3.56,-3.44
319.3089669484218,-3.62,-3.49
320.44529779180556,-3.64,-3.52
321.5816286322442,-3.64,-3.52
322.71795947562794,-3.64,-3.52
323.8542903190117,-3.64,-3.52
324.9906211623954,-3.64,-3.52
326.1269520128474,-3.64,-3.52
327.263282851519,-3.67,-3.54
328.3996136996149,-3.71,-3.58
329.53594454299866,-3.71,-3.58
330.67227538108125,-3.71,-3.58
331.8086062221089,-3.71,-3.58
332.9449370702048,-3.71,-3.58
334.08126791358853,-3.71,-3.58
335.2175987569723,-3.75,-3.64
336.3539295932878,-3.75,-3.64
337.49026043902757,-3.75,-3.64
338.6265912824113,-3.75,-3.64
339.7629221275621,-3.76,-3.65
340.89925297094584,-3.76,-3.66
342.03558381668563,-3.77,-3.67
343.1719146530011,-3.81,-3.71
344.30824549638487,-3.84,-3.73
345.44457634448077,-3.84,-3.73
346.5809071855084,-3.84,-3.73
347.71723802889215,-3.84,-3.73
348.8535688716869,-3.84,-3.73
349.98989971507064,-3.86,-3.75
351.1262305560983,-3.9,-3.79
352.2625614041942,-3.9,-3.79
353.3988922475779,-3.9,-3.79
354.53522309096167,-3.9,-3.79
355.6715539343454,-3.9,-3.79
356.80788477478404,-3.9,-3.79
357.9442156181678,-3.97,-3.86
359.08054646155153,-3.97,-3.86
360.2168773049353,-3.97,-3.86
361.3532081506751,-3.98,-3.87
362.4895389940588,-3.99,-3.88
363.6258698303743,-4,-3.88
364.7622006755251,-4,-3.89
365.8985315212649,-4.04,-3.93
367.03486236464863,-4.07,-3.95
368.1711932127445,-4.07,-3.95
369.3075240561283,-4.07,-3.95
370.44385489008766,-4.07,-3.95
371.5801857334714,-4.07,-3.95
372.7165165815673,-4.08,-3.97
373.85284742495105,-4.12,-4.02
374.98917827010183,-4.12,-4.02
376.12550910877343,-4.12,-4.02
377.2618399521572,-4.12,-4.02
378.3981707955409,-4.12,-4.02
379.53450163892467,-4.12,-4.02
380.6708324846645,-4.18,-4.09
381.80716332804826,-4.18,-4.09
382.94349416613085,-4.19,-4.1
384.0798250095146,-4.2,-4.1
385.21615585525444,-4.21,-4.11
386.3524866986382,-4.21,-4.12
387.48881754202193,-4.21,-4.12
388.62514839011783,-4.25,-4.16
389.7614792311455,-4.28,-4.19
390.89781006922806,-4.28,-4.19
392.03414091732395,-4.28,-4.19
393.1704717607077,-4.28,-4.19
394.30680260409144,-4.28,-4.19
395.4431334498313,-4.3,-4.21
396.57946429321504,-4.34,-4.26
397.71579512953053,-4.34,-4.26
398.8521259729143,-4.34,-4.26
399.98845682042116,-4.34,-4.26
401.1247876638049,-4.35,-4.27
402.26111850718866,-4.36,-4.27
403.39744934350415,-4.43,-4.34
404.5337801868879,-4.44,-4.35
405.6701110326277,-4.44,-4.35
406.80644187601143,-4.44,-4.35
407.9427727193952,-4.44,-4.35
409.07910356513503,-4.44,-4.35
410.2154344032176,-4.44,-4.35
411.35176524660136,-4.47,-4.38
412.48809609469726,-4.5,-4.41
413.624426938081,-4.5,-4.41
414.76075778382085,-4.5,-4.41
415.8970886272046,-4.5,-4.41
417.0334194652872,-4.5,-4.41
418.1697503086709,-4.52,-4.43
419.3060811544108,-4.58,-4.48
420.4424119977945,-4.58,-4.48
421.57874284117827,-4.58,-4.48
422.715073684562,-4.59,-4.49
423.85140452794576,-4.61,-4.5
424.98773536661736,-4.62,-4.51
426.12406621176814,-4.68,-4.57
427.2603970551519,-4.68,-4.58
428.3967279056039,-4.68,-4.58
429.5330587442755,-4.68,-4.58
430.669389580591,-4.68,-4.58
431.80572042868687,-4.68,-4.58
432.9420512720706,-4.68,-4.58
434.07838211309826,-4.71,-4.61
435.21471296119415,-4.74,-4.65
436.35104380634493,-4.74,-4.65
437.4873746426604,-4.74,-4.65
438.6237054884002,-4.74,-4.65
439.76003633178397,-4.74,-4.65
440.8963671751677,-4.75,-4.66
442.03269801855146,-4.79,-4.71
443.16902885663404,-4.79,-4.71
444.30535970237383,-4.79,-4.72
445.4416905457576,-4.8,-4.73
446.5780213891413,-4.81,-4.73
447.7143522325251,-4.81,-4.73
448.85068307826486,-4.85,-4.78
449.9870139216486,-4.86,-4.78
451.1233447597312,-4.86,-4.78
452.2596756078271,-4.86,-4.78
453.39600644885473,-4.86,-4.78
454.5323372922385,-4.86,-4.78
455.6686681403344,-4.86,-4.78
456.8049989837181,-4.89,-4.81
457.9413298223897,-4.92,-4.84
459.07766066577346,-4.92,-4.84
460.2139915091572,-4.92,-4.84
461.350322354308,-4.92,-4.84
462.48665319769174,-4.92,-4.84
463.62298404343153,-4.93,-4.85
464.759314879747,-4.98,-4.89
465.89564572313077,-4.98,-4.9
467.0319765665145,-4.99,-4.91
468.1683074122543,-5,-4.92
469.30463825563805,-5,-4.92
470.44096909372064,-5,-4.92
471.5772999371044,-5.05,-4.97
472.71363078284423,-5.06,-4.98
473.849961626228,-5.06,-4.98
474.9862924743239,-5.06,-4.98
476.1226233177076,-5.06,-4.98
477.25895416344747,-5.06,-4.98
478.39528500153006,-5.06,-4.98
479.5316158449138,-5.08,-5
480.66794668829755,-5.11,-5.03
481.8042775316813,-5.11,-5.03
482.9406083774211,-5.11,-5.04
484.07693922080483,-5.12,-5.04
485.2132700571203,-5.12,-5.05
486.3496009022711,-5.14,-5.07
487.4859317480109,-5.18,-5.11
488.62226259139464,-5.18,-5.11
489.7585934347784,-5.18,-5.11
490.8949242710939,-5.18,-5.11
492.0312551168337,-5.18,-5.11
493.1675859602174,-5.18,-5.11
494.30391680360117,-5.22,-5.15
495.44024765169706,-5.23,-5.16
496.5765784974369,-5.24,-5.17
497.7129093308073,-5.24,-5.17
498.8492401789032,-5.24,-5.17
499.98557102228693,-5.24,-5.17
501.1219018656707,-5.24,-5.17
502.2582327114105,-5.27,-5.2
503.3945635547943,-5.3,-5.23
504.53089439287686,-5.3,-5.23
505.6672252362606,-5.31,-5.24
506.80355607964435,-5.32,-5.25
507.93988692538414,-5.32,-5.25
509.0762177687679,-5.33,-5.26
510.21254861215164,-5.38,-5.31
511.3488794555354,-5.38,-5.31
512.4852102959741,-5.38,-5.31
513.6215411393578,-5.38,-5.31
514.7578719874537,-5.38,-5.31
515.8942028308373,-5.38,-5.31
517.030533671865,-5.38,-5.31
518.1668645081805,-5.42,-5.35
519.3031953562764,-5.43,-5.37
520.4395261996601,-5.43,-5.37
521.5758570454,-5.43,-5.37
522.7121878905508,-5.43,-5.37
523.8485187339345,-5.43,-5.37
524.98484957025,-5.45,-5.39
526.1211804136337,-5.49,-5.43
527.2575112593736,-5.49,-5.44
528.3938421027573,-5.5,-5.45
529.530172946141,-5.51,-5.45
530.6665037842236,-5.51,-5.45
531.8028346299634,-5.51,-5.46
532.9391654733471,-5.56,-5.51
534.0754963167308,-5.56,-5.51
535.2118271648267,-5.56,-5.51
536.3481580058543,-5.56,-5.51
537.484488849238,-5.56,-5.51
538.6208196973339,-5.56,-5.51
539.7571505354165,-5.56,-5.51
540.8934813764441,-5.6,-5.55
542.02981222454,-5.61,-5.57
543.1661430679237,-5.61,-5.57
544.3024739113074,-5.61,-5.57
545.438804747623,-5.61,-5.57
546.5751355933628,-5.61,-5.57
547.7114664385136,-5.64,-5.59
548.8477972818973,-5.68,-5.64
549.984128125281,-5.69,-5.65
551.1204589710209,-5.69,-5.65
552.2567898073364,-5.69,-5.65
553.3931206507201,-5.69,-5.65
554.529451498816,-5.69,-5.65
555.6657823398436,-5.74,-5.7
556.8021131832273,-5.74,-5.7
557.9384440213099,-5.74,-5.7
559.0747748694058,-5.74,-5.7
560.2111057104335,-5.74,-5.7
561.3474365585294,-5.74,-5.7
562.483767401913,-5.74,-5.7
563.6200982452967,-5.77,-5.74
564.7564290833793,-5.79,-5.75
565.8927599291192,-5.79,-5.76
567.0290907725029,-5.8,-5.77
568.1654216158865,-5.81,-5.77
569.3017524592702,-5.81,-5.78
570.4380833050101,-5.83,-5.8
571.5744141483938,-5.86,-5.83
572.7107449864764,-5.86,-5.83
573.84707582986,-5.86,-5.83
574.9834066755999,-5.86,-5.83
576.1197375189836,-5.86,-5.83
577.2560683623673,-5.86,-5.83
578.3923992104632,-5.91,-5.88
579.5287300444226,-5.91,-5.88
580.6650608878062,-5.91,-5.88
581.8013917359021,-5.91,-5.88
582.937722581053,-5.91,-5.88
584.0740534244367,-5.91,-5.88
585.2103842631083,-5.91,-5.88
586.346715106492,-5.95,-5.92
587.4830459498756,-5.97,-5.94
588.6193767932593,-5.98,-5.95
589.7557076389992,-5.99,-5.96
590.8920384823829,-5.99,-5.96
592.0283693204655,-5.99,-5.96
593.1647001638491,-6.01,-5.98
594.3010310072328,-6.05,-6.02
595.4373618529727,-6.05,-6.02
596.5736926963564,-6.05,-6.02
597.7100235397401,-6.05,-6.02
598.846354390192,-6.05,-6.02
599.9826852235624,-6.05,-6.02
601.1190160669461,-6.1,-6.07
602.255346915042,-6.1,-6.07
603.3916777584257,-6.1,-6.07
604.5280085994533,-6.1,-6.07
605.6643394475492,-6.1,-6.07
606.8006702838647,-6.1,-6.07
607.9370011290156,-6.1,-6.07
609.0733319747554,-6.14,-6.11
610.2096628181391,-6.17,-6.14
611.3459936615228,-6.17,-6.14
612.4823244978384,-6.18,-6.15
613.618655341222,-6.18,-6.15
614.7549861869619,-6.18,-6.15
615.8913170303456,-6.19,-6.16
617.0276478737293,-6.22,-6.2
618.163978717113,-6.22,-6.2
619.3003095575516,-6.22,-6.2
620.4366404009353,-6.22,-6.2
621.5729712490312,-6.22,-6.2
622.7093020924149,-6.22,-6.2
623.8456329334425,-6.26,-6.24
624.9819637762372,-6.26,-6.24
626.1182946196209,-6.26,-6.24
627.2546254630046,-6.26,-6.24
628.3909563087444,-6.26,-6.24
629.5272871521281,-6.28,-6.26
630.6636179955118,-6.29,-6.27
631.7999488388955,-6.32,-6.3
632.9362796822792,-6.34,-6.32
634.0726105227178,-6.34,-6.32
635.2089413661015,-6.34,-6.32
636.3452722094852,-6.34,-6.32
637.4816030528689,-6.34,-6.32
638.6179338986087,-6.35,-6.33
639.7542647349243,-6.39,-6.37
640.890595578308,-6.39,-6.37
642.0269264264039,-6.39,-6.37
643.1632572674315,-6.39,-6.37
644.2995881125823,-6.39,-6.37
645.4359189606782,-6.39,-6.37
646.5722497969938,-6.41,-6.38
647.7085806427336,-6.43,-6.41
648.8449114861173,-6.45,-6.42
649.981242329501,-6.45,-6.43
651.1175731728847,-6.46,-6.44
652.2539040109673,-6.46,-6.44
653.3902348567071,-6.46,-6.44
654.5265657000908,-6.49,-6.47
655.6628965434745,-6.51,-6.49
656.7992273868582,-6.51,-6.49
657.935558232598,-6.51,-6.49
659.0718890759817,-6.51,-6.49
660.2082199193654,-6.51,-6.49
661.3445507621601,-6.52,-6.5
662.4808816031878,-6.56,-6.54
663.6172124465714,-6.56,-6.54
664.7535432899551,-6.56,-6.54
665.889874138051,-6.56,-6.54
667.0262049767226,-6.56,-6.54
668.1625358201063,-6.56,-6.54
669.2988666652572,-6.56,-6.54
670.4351975086408,-6.6,-6.58
671.5715283520245,-6.61,-6.6
672.7078591977644,-6.61,-6.61
673.8441900340799,-6.62,-6.61
674.9805208774636,-6.62,-6.61
676.1168517208473,-6.62,-6.61
677.253182564231,-6.63,-6.63
678.3895134099708,-6.65,-6.65
679.5258442480534,-6.65,-6.65
680.6621750914371,-6.65,-6.65
681.798505937177,-6.65,-6.65
682.9348367805607,-6.65,-6.65
684.0711676239443,-6.66,-6.66
685.2074984720402,-6.69,-6.69
686.3438293101228,-6.69,-6.69
687.4801601511505,-6.69,-6.69
688.6164909992464,-6.69,-6.69
689.75282184263,-6.69,-6.69
690.8891526860137,-6.69,-6.69
692.0254835317536,-6.7,-6.7
693.1618143751373,-6.74,-6.74
694.2981452132199,-6.75,-6.76
695.4344760566036,-6.75,-6.76
696.5708068999872,-6.75,-6.76
697.7071377457271,-6.75,-6.76
698.8434685891108,-6.75,-6.76
699.9797994324945,-6.77,-6.78
701.1161302711661,-6.79,-6.8
702.2524611145498,-6.79,-6.8
703.3887919579334,-6.79,-6.8
704.5251228030843,-6.79,-6.8
705.6614536511802,-6.79,-6.8
706.7977844851396,-6.8,-6.81
707.9341153332355,-6.84,-6.84
709.0704461766192,-6.84,-6.84
710.2067770200028,-6.84,-6.84
711.3431078610305,-6.85,-6.86
712.4794387091264,-6.86,-6.86
713.615769547209,-6.86,-6.86
714.7521003905927,-6.86,-6.86
715.8884312339763,-6.9,-6.9
717.0247620797162,-6.91,-6.91
718.1610929230999,-6.91,-6.91
719.2974237664836,-6.91,-6.91
720.4337546098673,-6.91,-6.91
721.5700854503059,-6.91,-6.91
722.7064162936896,-6.93,-6.93
723.8427471370733,-6.95,-6.95
724.9790779851692,-6.95,-6.95
726.1154088261968,-6.95,-6.95
727.2517396695805,-6.95,-6.95
728.3880705106081,-6.95,-6.95
729.524401355759,-6.96,-6.96
730.6607321967866,-7,-6.99
731.7970630448825,-7,-7
732.9333938882662,-7.01,-7
734.0697247245818,-7.02,-7.01
735.2060555679654,-7.02,-7.01
736.3423864137053,-7.02,-7.01
737.478717257089,-7.02,-7.01
738.6150481004727,-7.05,-7.04
739.7513789438564,-7.06,-7.05
740.887709784295,-7.06,-7.05
742.0240406276787,-7.06,-7.05
743.1603714710624,-7.06,-7.05
744.2967023144461,-7.06,-7.05
745.4330331601859,-7.07,-7.07
746.5693639982685,-7.09,-7.1
747.7056948463644,-7.09,-7.1
748.8420256897481,-7.09,-7.1
749.9783565307757,-7.09,-7.1
751.1146873741594,-7.09,-7.1
752.2510182222553,-7.1,-7.1
753.387349065639,-7.14,-7.15
754.5236799090227,-7.14,-7.15
755.6600107494613,-7.15,-7.16
756.796341592845,-7.15,-7.16
757.9326724362287,-7.15,-7.16
759.0690032796124,-7.15,-7.16
760.2053341253522,-7.15,-7.16
761.3416649616678,-7.18,-7.19
762.4779958050515,-7.19,-7.2
763.6143266484352,-7.19,-7.2
764.750657494175,-7.19,-7.2
765.8869883393259,-7.19,-7.2
767.0233191827095,-7.19,-7.2
768.1596500237372,-7.21,-7.22
769.295980869477,-7.23,-7.24
770.4323117081486,-7.23,-7.24
771.5686425562445,-7.23,-7.24
772.7049733996282,-7.23,-7.24
773.8413042377108,-7.24,-7.24
774.9776350834507,-7.24,-7.25
776.1139659268343,-7.28,-7.29
777.250296770218,-7.29,-7.29
778.3866276136017,-7.29,-7.29
779.5229584593416,-7.29,-7.29
780.6592893027253,-7.29,-7.29
781.795620146109,-7.29,-7.29
782.9319509841915,-7.29,-7.29
784.0682818275752,-7.32,-7.32
785.2046126733151,-7.33,-7.33
786.3409435166988,-7.33,-7.33
787.4772743600824,-7.33,-7.33
788.6136052034661,-7.33,-7.33
789.7499360421377,-7.33,-7.33
790.8862668872886,-7.34,-7.34
792.0225977353845,-7.36,-7.37
793.1589285787682,-7.37,-7.38
794.295259424508,-7.38,-7.38
795.4315902608236,-7.38,-7.39
796.5679211042072,-7.38,-7.39
797.7042519475909,-7.38,-7.39
798.8405827933308,-7.38,-7.39
799.9769136367145,-7.41,-7.42
801.113244474797,-7.41,-7.42
802.2495753181807,-7.41,-7.42
803.3859061615644,-7.41,-7.42
804.5222370073043,-7.41,-7.42
805.658567850688,-7.41,-7.42
806.7948986940717,-7.44,-7.45
807.9312295392225,-7.45,-7.46
809.0675603778941,-7.45,-7.46
810.2038912212778,-7.45,-7.46
811.3402220693737,-7.45,-7.46
812.4765529127574,-7.45,-7.46
813.612883753785,-7.46,-7.47
814.7492146018809,-7.48,-7.5
815.8855454399635,-7.49,-7.5
817.0218762833472,-7.49,-7.51
818.158207129087,-7.49,-7.51
819.2945379724707,-7.49,-7.51
820.4308688158544,-7.49,-7.51
821.5671996592381,-7.49,-7.51
822.7035304955537,-7.53,-7.54
823.8398613412935,-7.53,-7.54
824.9761921846772,-7.53,-7.54
826.112523029828,-7.53,-7.54
827.2488538732117,-7.53,-7.54
828.3851847118833,-7.53,-7.54
829.521515555267,-7.55,-7.56
830.6578463986507,-7.56,-7.57
831.7941772467466,-7.56,-7.57
832.9305080877742,-7.56,-7.57
834.0668389311579,-7.56,-7.57
835.2031697739526,-7.57,-7.58
836.3395006173363,-7.58,-7.59
837.4758314630761,-7.62,-7.62
838.6121623064598,-7.62,-7.63
839.7484931498435,-7.62,-7.63
840.8848239932272,-7.62,-7.63
842.0211548366109,-7.62,-7.63
843.1574856770495,-7.62,-7.63
844.2938165204332,-7.62,-7.63
845.4301473638169,-7.65,-7.65
846.5664782072006,-7.66,-7.66
847.7028090529404,-7.66,-7.66
848.8391398963241,-7.66,-7.66
849.9754707326397,-7.66,-7.66
851.1118015777905,-7.66,-7.66
852.2481324235304,-7.67,-7.68
853.384463266914,-7.69,-7.7
854.52079411501,-7.69,-7.7
855.6571249513255,-7.69,-7.7
856.7934557947092,-7.69,-7.7
857.929786640449,-7.69,-7.7
859.0661174838327,-7.71,-7.72
860.2024483272164,-7.73,-7.74
861.3387791706001,-7.73,-7.74
862.4751100110387,-7.73,-7.74
863.6114408544224,-7.73,-7.74
864.7477716978061,-7.73,-7.74
865.8841025411898,-7.73,-7.74
867.0204333845735,-7.73,-7.74
868.1567642250121,-7.76,-7.77
869.2930950683958,-7.76,-7.77
870.4294259117795,-7.76,-7.77
871.5657567575194,-7.76,-7.77
872.702087600903,-7.76,-7.77
873.8384184442867,-7.76,-7.77
874.9747492923826,-7.78,-7.79
876.1110801286982,-7.8,-7.81
877.2474109714929,-7.81,-7.81
878.3837418195887,-7.81,-7.82
879.5200726629724,-7.81,-7.82
880.6564035063561,-7.81,-7.82
881.792734352096,-7.82,-7.82
882.9290651884115,-7.84,-7.85
884.0653960317952,-7.84,-7.85
885.2017268751789,-7.84,-7.85
886.3380577185626,-7.84,-7.85
887.4743885660695,-7.84,-7.85
