 UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2012 05 25 21 02  1.19  9.09 139           6.19                           20.4           1
2012 05 25 21 32  1.39  8.33 138           6.60                           20.4           1
2012 05 25 22 02  1.35  9.09 142           6.50                           20.4           1
2012 05 25 22 32  1.41  8.33 141           6.49                           20.3           1
2012 05 25 23 02  1.67  8.33 144           6.88                           20.2           1
2012 05 25 23 32  1.56  8.33 139           6.40                           20.2           1
2012 05 26 00 02  1.58  8.33 139           6.37                           20.2           1
2012 05 26 00 32  1.76  9.09 138           6.68                           20.1           1
2012 05 26 01 02  1.77  9.09 132           6.62                           20.0           1
2012 05 26 01 32  1.81  8.33 139           6.50                           20.0           1
2012 05 26 02 02  1.88  8.33 138           6.61                           20.0           1
2012 05 26 02 32  2.00  8.33 131           6.81                           20.0           1
2012 05 26 03 02  1.93  9.09 130           6.76                           20.1           1
2012 05 26 03 32  1.98  9.09 132           6.80                           20.1           1
2012 05 26 04 02  1.98  9.88 131           6.64                           20.1           1
2012 05 26 04 32  1.93  9.09 128           6.61                           20.2           1
2012 05 26 05 02  1.75  9.09 128           6.46                           20.2           1
2012 05 26 05 32  1.94  9.09 130           6.54                           20.2           1
2012 05 26 06 02  2.11  8.33 134           6.76                           20.3           1
2012 05 26 06 32  1.95  8.33 131           6.50                           20.3           1
2012 05 26 07 02  1.94  9.09 125           6.50                           20.2           1
2012 05 26 07 32  1.83  9.09 134           6.38                           20.2           1
2012 05 26 08 02  1.99  8.33 132           6.64                           20.1           1
2012 05 26 08 32  1.97  8.33 130           6.63                           20.1           1
2012 05 26 09 02  2.15  9.88 135           6.82                           20.1           1
2012 05 26 09 32  2.14  8.33 134           6.81                           20.1           1
2012 05 26 10 02  2.11  9.88 130           6.98                           20.0           1
2012 05 26 10 32  2.09  8.33 135           6.70                           20.0           1
2012 05 26 11 02  2.03  9.09 137           6.63                           20.0           1
2012 05 26 11 32  1.86  9.09 139           6.53                           20.0           1
2012 05 26 12 02  1.96  9.09 131           6.69                           20.0           1
2012 05 26 12 32  1.99  9.09 137           6.68                           20.0           1
2012 05 26 13 02  2.08  9.09 135           6.80                           20.0           1
