date_time,Wind Speed (m/s)
2012-01-02T18:19:59Z,5.07091665268
2012-01-02T18:30:00Z,5.13223314285
2012-01-02T18:39:59Z,5.61728334427
2012-01-02T18:50:00Z,5.70693349838
2012-01-02T18:59:59Z,4.77118349075
2012-01-02T19:10:00Z,4.87293338776
2012-01-02T19:19:59Z,5.22471666336
2012-01-02T19:30:00Z,5.90754985809
2012-01-02T19:40:00Z,5.41295003891
2012-01-02T19:49:59Z,5.92899990082
2012-01-02T20:00:00Z,5.51719999313
2012-01-02T20:09:59Z,5.63100004196
2012-01-02T20:20:00Z,5.94719982147
2012-01-02T20:29:59Z,5.04774999619
2012-01-02T20:40:00Z,5.26109981537
2012-01-02T21:00:00Z,5.86631679535
2012-01-02T21:10:00Z,5.54726648331
2012-01-02T21:19:59Z,5.0966668129
2012-01-02T21:30:00Z,4.70206689835
2012-01-02T21:39:59Z,6.14981651306
2012-01-02T21:50:00Z,5.45340013504
2012-01-02T21:59:59Z,4.99183320999
2012-01-02T22:10:00Z,5.14443349838
2012-01-02T22:19:59Z,5.20768356323
2012-01-02T22:30:00Z,4.70551681519
2012-01-02T22:40:00Z,4.51373338699
2012-01-02T22:49:59Z,4.75225019455
2012-01-02T23:00:00Z,5.56430006027
2012-01-02T23:09:59Z,5.41191673279
2012-01-02T23:20:00Z,5.85335016251
2012-01-02T23:29:59Z,6.49888324738
2012-01-02T23:40:00Z,6.80083322525
2012-01-03T00:00:00Z,7.0530500412
2012-01-03T00:10:00Z,8.47268295288
2012-01-03T00:19:59Z,8.16845035553
2012-01-03T00:30:00Z,8.66689968109
2012-01-03T00:39:59Z,9.0764503479
2012-01-03T00:50:00Z,9.48655033112
2012-01-03T00:59:59Z,9.73578357697
2012-01-03T01:10:00Z,10.4308996201
2012-01-03T01:19:59Z,9.91288375854
2012-01-03T01:30:00Z,9.73363304138
2012-01-03T01:40:00Z,8.8858833313
2012-01-03T01:49:59Z,9.69166660309
2012-01-03T02:00:00Z,8.76338291168
2012-01-03T02:09:59Z,8.74314975739
2012-01-03T02:20:00Z,8.78859996796
2012-01-03T02:29:59Z,9.30914974213
2012-01-03T02:40:00Z,8.22484970093
2012-01-03T03:00:00Z,6.96355009079
2012-01-03T03:10:00Z,6.14966678619
2012-01-03T03:19:59Z,6.78200006485
2012-01-03T03:30:00Z,7.55276679993
2012-01-03T03:39:59Z,7.32113313675
2012-01-03T03:50:00Z,8.62593364716
2012-01-03T03:59:59Z,9.02088356018
2012-01-03T04:10:00Z,9.03518295288
2012-01-03T04:19:59Z,8.58908367157
2012-01-03T04:30:00Z,8.28479957581
2012-01-03T04:40:00Z,8.69603347778
2012-01-03T04:49:59Z,8.37164974213
2012-01-03T05:00:00Z,8.03009986877
2012-01-03T05:09:59Z,7.76214981079
2012-01-03T05:20:00Z,7.52199983597
2012-01-03T05:29:59Z,7.81479978561
2012-01-03T05:40:00Z,7.60221672058
2012-01-03T06:00:00Z,8.28331661224
2012-01-03T06:10:00Z,8.98476696014
2012-01-03T06:19:59Z,8.07324981689
2012-01-03T06:30:00Z,8.95091629028
2012-01-03T06:39:59Z,8.9642829895
2012-01-03T06:50:00Z,8.90954971313
2012-01-03T06:59:59Z,9.24668312073
2012-01-03T07:10:00Z,9.49705028534
2012-01-03T07:19:59Z,10.3161497116
2012-01-03T07:30:00Z,10.0375833511
2012-01-03T07:40:00Z,10.3965330124
2012-01-03T07:49:59Z,9.91398334503
2012-01-03T08:00:00Z,9.61716651917
2012-01-03T08:09:59Z,10.0751171112
2012-01-03T08:20:00Z,9.96886634827
2012-01-03T08:29:59Z,10.3791999817
2012-01-03T08:40:00Z,12.1214504242
2012-01-03T09:00:00Z,10.5688333511
2012-01-03T09:10:00Z,10.0877170563
2012-01-03T09:19:59Z,9.51640033722
2012-01-03T09:30:00Z,9.48789978027
2012-01-03T09:39:59Z,9.87828350067
2012-01-03T09:50:00Z,10.3001499176
2012-01-03T09:59:59Z,10.2556667328
2012-01-03T10:10:00Z,10.8851833344
2012-01-03T10:19:59Z,11.2659912109
2012-01-03T10:30:00Z,9.18533325195
2012-01-03T10:40:00Z,9.60974979401
2012-01-03T10:49:59Z,9.46599960327
2012-01-03T11:00:00Z,9.24345016479
2012-01-03T11:09:59Z,10.0467500687
2012-01-03T11:20:00Z,9.95868301392
2012-01-03T11:29:59Z,9.5077829361
2012-01-03T11:40:00Z,9.95520019531
2012-01-03T12:00:00Z,9.47305011749
2012-01-03T12:10:00Z,9.30678367615
