date_time,Wind Direction (degree)
2012-01-02T19:19:59Z,258.456115723
2012-01-02T19:30:00Z,270.456420898
2012-01-02T19:40:00Z,273.181365967
2012-01-02T19:49:59Z,272.417266846
2012-01-02T20:00:00Z,274.184143066
2012-01-02T20:09:59Z,274.733398438
2012-01-02T20:20:00Z,273.880187988
2012-01-02T20:29:59Z,280.615325928
2012-01-02T20:40:00Z,282.992034912
2012-01-02T21:00:00Z,281.773498535
2012-01-02T21:10:00Z,274.056030273
2012-01-02T21:19:59Z,275.861999512
2012-01-02T21:30:00Z,272.190338135
2012-01-02T21:39:59Z,277.578369141
2012-01-02T21:50:00Z,277.810394287
2012-01-02T21:59:59Z,273.867492676
2012-01-02T22:10:00Z,281.786895752
2012-01-02T22:19:59Z,283.819824219
2012-01-02T22:30:00Z,288.467803955
2012-01-02T22:40:00Z,292.520599365
2012-01-02T22:49:59Z,296.272277832
2012-01-02T23:00:00Z,293.945465088
2012-01-02T23:09:59Z,299.707733154
2012-01-02T23:20:00Z,308.913299561
2012-01-02T23:29:59Z,307.755340576
2012-01-02T23:40:00Z,310.66418457
2012-01-03T00:00:00Z,315.014129639
2012-01-03T00:10:00Z,316.115234375
2012-01-03T00:19:59Z,315.433868408
2012-01-03T00:30:00Z,318.984649658
2012-01-03T00:39:59Z,317.557159424
2012-01-03T00:50:00Z,317.225646973
2012-01-03T00:59:59Z,317.018432617
2012-01-03T01:10:00Z,321.56930542
2012-01-03T01:19:59Z,319.731506348
2012-01-03T01:30:00Z,320.692443848
2012-01-03T01:40:00Z,317.65423584
2012-01-03T01:49:59Z,317.578369141
2012-01-03T02:00:00Z,319.920715332
2012-01-03T02:09:59Z,322.286651611
2012-01-03T02:20:00Z,319.772796631
2012-01-03T02:29:59Z,316.877563477
2012-01-03T02:40:00Z,316.334472656
2012-01-03T03:00:00Z,307.311004639
2012-01-03T03:10:00Z,310.871276855
2012-01-03T03:19:59Z,310.30871582
2012-01-03T03:30:00Z,306.520904541
2012-01-03T03:39:59Z,312.242980957
2012-01-03T03:50:00Z,313.83581543
2012-01-03T03:59:59Z,318.922729492
2012-01-03T04:10:00Z,317.969573975
2012-01-03T04:19:59Z,316.644317627
2012-01-03T04:30:00Z,316.475402832
2012-01-03T04:40:00Z,315.710083008
2012-01-03T04:49:59Z,315.199493408
2012-01-03T05:00:00Z,318.109222412
2012-01-03T05:09:59Z,317.6355896
2012-01-03T05:20:00Z,314.991729736
2012-01-03T05:29:59Z,314.683776855
2012-01-03T05:40:00Z,308.493408203
2012-01-03T06:00:00Z,307.089538574
2012-01-03T06:10:00Z,308.627746582
2012-01-03T06:19:59Z,309.147003174
2012-01-03T06:30:00Z,308.348693848
2012-01-03T06:39:59Z,310.514190674
2012-01-03T06:50:00Z,312.385559082
2012-01-03T06:59:59Z,312.424743652
2012-01-03T07:10:00Z,313.851959229
2012-01-03T07:19:59Z,315.416290283
2012-01-03T07:30:00Z,317.232330322
2012-01-03T07:40:00Z,316.499298096
2012-01-03T07:49:59Z,318.56640625
2012-01-03T08:00:00Z,319.10559082
2012-01-03T08:09:59Z,317.328674316
2012-01-03T08:20:00Z,316.830352783
2012-01-03T08:29:59Z,318.406585693
2012-01-03T08:40:00Z,319.310577393
2012-01-03T09:00:00Z,316.171691895
2012-01-03T09:10:00Z,316.547576904
2012-01-03T09:19:59Z,312.544952393
2012-01-03T09:30:00Z,306.976348877
2012-01-03T09:39:59Z,306.098297119
2012-01-03T09:50:00Z,306.669158936
2012-01-03T09:59:59Z,308.01171875
2012-01-03T10:10:00Z,308.929901123
2012-01-03T10:19:59Z,310.376281738
2012-01-03T10:30:00Z,306.324615479
2012-01-03T10:40:00Z,310.16607666
2012-01-03T10:49:59Z,315.001159668
2012-01-03T11:00:00Z,313.987487793
2012-01-03T11:09:59Z,317.246673584
2012-01-03T11:20:00Z,319.479888916
2012-01-03T11:29:59Z,313.479156494
2012-01-03T11:40:00Z,313.742248535
2012-01-03T12:00:00Z,308.393554688
2012-01-03T12:10:00Z,306.421081543
2012-01-03T12:19:59Z,308.584442139
2012-01-03T12:30:00Z,308.476837158
2012-01-03T12:39:59Z,305.726318359
2012-01-03T12:50:00Z,304.183044434
2012-01-03T12:59:59Z,305.616638184
2012-01-03T13:10:00Z,307.340240479
2012-01-03T13:19:59Z,307.898376465
2012-01-03T13:30:00Z,310.799194336
2012-01-03T13:40:00Z,310.340820312
2012-01-03T13:49:59Z,309.586029053
2012-01-03T14:00:00Z,312.493713379
2012-01-03T14:09:59Z,313.017700195
2012-01-03T14:20:00Z,311.920654297
2012-01-03T14:29:59Z,309.6355896
2012-01-03T14:40:00Z,315.790924072
2012-01-03T15:00:00Z,321.460784912
2012-01-03T15:10:00Z,320.966125488
2012-01-03T15:19:59Z,320.531921387
2012-01-03T15:30:00Z,323.910949707
2012-01-03T15:39:59Z,333.573516846
2012-01-03T15:50:00Z,334.743743896
2012-01-03T15:59:59Z,326.165618896
2012-01-03T16:10:00Z,337.658111572
2012-01-03T16:19:59Z,326.084320068
2012-01-03T16:30:00Z,323.729980469
2012-01-03T16:40:00Z,323.558166504
2012-01-03T16:49:59Z,318.173400879
2012-01-03T17:00:00Z,325.498321533
2012-01-03T17:09:59Z,334.72265625
2012-01-03T17:20:00Z,334.703216553
2012-01-03T17:29:59Z,329.418579102
2012-01-03T17:40:00Z,338.878570557
2012-01-03T18:00:00Z,319.391479492
2012-01-03T18:10:00Z,324.994476318
2012-01-03T18:19:59Z,329.644989014
2012-01-03T18:30:00Z,334.296539307
2012-01-03T18:39:59Z,326.18447876
2012-01-03T18:50:00Z,318.896087646
2012-01-03T18:59:59Z,316.121337891
2012-01-03T19:10:00Z,333.461853027
2012-01-03T19:19:59Z,326.733917236
2012-01-03T19:30:00Z,320.201263428
2012-01-03T19:40:00Z,314.602325439
2012-01-03T19:49:59Z,318.87109375
2012-01-03T20:00:00Z,326.814300537
2012-01-03T20:09:59Z,327.166900635
2012-01-03T20:20:00Z,329.9269104
2012-01-03T20:29:59Z,318.621124268
2012-01-03T20:40:00Z,310.815246582
2012-01-03T21:00:00Z,313.864471436
2012-01-03T21:10:00Z,317.271789551
2012-01-03T21:19:59Z,312.406768799
2012-01-03T21:30:00Z,312.783569336
2012-01-03T21:39:59Z,314.748748779
2012-01-03T21:50:00Z,313.892791748
2012-01-03T21:59:59Z,329.311431885
2012-01-03T22:10:00Z,326.519592285
2012-01-03T22:19:59Z,319.548858643
2012-01-03T22:30:00Z,323.53225708
2012-01-03T22:40:00Z,317.736877441
2012-01-03T22:49:59Z,318.607452393
2012-01-03T23:00:00Z,314.908813477
2012-01-03T23:09:59Z,326.343658447
2012-01-03T23:20:00Z,336.225006104
2012-01-03T23:29:59Z,329.075653076
2012-01-03T23:40:00Z,337.476165771
2012-01-04T00:00:00Z,333.9012146
2012-01-04T00:10:00Z,333.275665283
2012-01-04T00:19:59Z,338.876678467
2012-01-04T00:30:00Z,337.329223633
2012-01-04T00:39:59Z,329.87902832
2012-01-04T00:50:00Z,333.356689453
2012-01-04T00:59:59Z,334.938110352
2012-01-04T01:10:00Z,333.112670898
2012-01-04T01:19:59Z,326.053314209
2012-01-04T01:30:00Z,328.037841797
2012-01-04T01:40:00Z,329.053161621
2012-01-04T01:49:59Z,325.942840576
2012-01-04T02:00:00Z,328.722686768
2012-01-04T02:09:59Z,324.809936523
2012-01-04T02:20:00Z,326.22744751
2012-01-04T02:29:59Z,326.927154541
2012-01-04T02:40:00Z,328.719329834
2012-01-04T03:00:00Z,328.598754883
2012-01-04T03:10:00Z,326.667785645
2012-01-04T03:19:59Z,327.592590332
2012-01-04T03:30:00Z,327.662567139
2012-01-04T03:39:59Z,333.772949219
2012-01-04T03:50:00Z,326.662628174
2012-01-04T03:59:59Z,321.499298096
2012-01-04T04:10:00Z,324.851531982
2012-01-04T04:19:59Z,321.510314941
2012-01-04T04:30:00Z,318.986450195
2012-01-04T04:40:00Z,325.372283936
2012-01-04T04:49:59Z,325.870330811
2012-01-04T05:00:00Z,326.383239746
2012-01-04T05:09:59Z,326.191253662
2012-01-04T05:20:00Z,321.330047607
2012-01-04T05:29:59Z,322.620727539
2012-01-04T05:40:00Z,323.456878662
2012-01-04T06:00:00Z,313.608886719
2012-01-04T06:10:00Z,311.531066895
2012-01-04T06:19:59Z,310.137023926
2012-01-04T06:30:00Z,308.368896484
2012-01-04T06:39:59Z,309.693969727
2012-01-04T06:50:00Z,309.998474121
2012-01-04T06:59:59Z,307.938934326
2012-01-04T07:10:00Z,309.043334961
2012-01-04T07:19:59Z,310.872009277
2012-01-04T07:30:00Z,309.839080811
